Word,uniqueID,moves_freq_1,moves_freq_2,moves_freq_3,moves_freq_4,moves_freq_5,moves_freq_6,moves_freq_7
float,float,3,2,5,1,12,14,2
floss,floss,22,0,2,4,4,3,1
flour,flour,16,10,5,1,3,1,1
flower,flower,7,2,5,4,12,6,2
flute,flute,16,13,1,2,3,2,1
fly,fly,0,0,0,0,1,5,32
flypaper,flypaper,19,9,1,2,3,2,2
flyswatter,flyswatter,12,7,2,3,6,3,2
foam,foam,18,8,4,2,5,1,0
folder,folder,18,7,2,0,7,0,0
fondue,fondue,15,9,3,4,6,1,0
food processor,food_processor,7,5,1,5,10,7,3
foot,foot,0,0,0,0,1,9,30
football,football,7,7,3,1,7,5,5
football helmet,football_helmet,21,12,0,1,5,1,0
footbath,footbath,14,14,0,1,4,1,1
footprint,footprint,20,9,1,3,2,1,1
footrest,footrest,13,7,5,4,3,6,1
fork,fork,15,13,2,4,1,0,0
forklift,forklift,1,0,0,0,3,17,14
fossil,fossil,20,10,0,1,2,2,0
fountain pen,fountain_pen,12,7,4,5,2,2,3
fox,fox,0,0,0,0,1,7,30
frame,frame,17,16,2,2,1,0,0
freezer,freezer,29,7,3,0,0,0,0
french fries,french_fries,26,8,3,0,1,0,0
french horn,french_horn,18,10,2,0,6,2,0
frisbee,frisbee,3,12,2,2,2,8,9
frog,frog,0,0,0,0,3,4,31
fruit,fruit,13,13,4,5,1,1,1
fruitcake,fruitcake,29,7,1,0,1,0,0
fudge,fudge,24,8,1,2,1,1,1
fungus,fungus,9,8,5,4,7,6,1
funnel,funnel,25,9,2,0,1,0,0
fur coat,fur_coat,14,14,4,0,4,1,0
furnace,furnace,25,9,1,2,0,0,0
fuse,fuse,21,10,2,2,0,0,0
gallows,gallows,19,10,5,0,3,2,0
game,game,16,4,3,7,4,2,1
garbage,garbage,21,9,2,2,1,2,2
garbage truck,garbage_truck,2,0,0,0,2,12,19
gargoyle,gargoyle,27,7,3,1,0,1,0
garlic,garlic,15,5,1,7,7,0,0
garter,garter,19,9,1,2,6,1,0
gas mask,gas_mask,18,11,3,3,4,0,0
gasket,gasket,15,9,2,6,5,0,1
gate,gate,4,6,3,2,6,11,5
gauge,gauge,10,1,0,1,11,13,2
gauze,gauze,20,7,1,1,5,2,1
gavel,gavel,13,5,3,2,12,2,0
gazelle,gazelle,0,0,0,1,0,3,33
gear,gear,3,2,0,1,3,11,19
gearshift,gearshift,1,0,0,2,5,15,16
gel,gel,8,10,4,2,8,4,1
gem,gem,23,6,1,2,0,1,1
generator,generator,4,6,3,4,11,7,3
gift,gift,13,10,3,11,1,0,0
ginger,ginger,22,10,2,3,2,0,0
gingerbread man,gingerbread_man,26,8,0,2,0,0,0
giraffe,giraffe,0,0,0,0,0,6,31
girl,girl,0,0,0,0,0,6,33
glass,glass,21,10,4,1,1,1,0
glasses,glasses,21,7,1,2,5,1,0
globe,globe,1,3,2,4,10,12,4
glove,glove,19,9,2,5,1,1,2
